method,h,error,c
MQ_poly,0.2,0.003923728,0.5
InvMQ_poly,0.2,0.003943265,0.5
Gauss_poly,0.2,0.003931763,0.5
MQ_poly,0.1,0.000976732,0.5
InvMQ_poly,0.1,0.000977988,0.5
Gauss_poly,0.1,0.000977236,0.5
MQ_poly,0.05,0.000243919,0.5
InvMQ_poly,0.05,0.000243998,0.5
Gauss_poly,0.05,0.000243951,0.5
MQ_poly,0.025,6.10E-05,0.5
InvMQ_poly,0.025,6.10E-05,0.5
Gauss_poly,0.025,6.10E-05,0.5
MQ_poly,0.0125,1.52E-05,0.5
InvMQ_poly,0.0125,1.52E-05,0.5
Gauss_poly,0.0125,1.52E-05,0.5
MQ_poly,0.00625,3.81E-06,0.5
InvMQ_poly,0.00625,3.81E-06,0.5
Gauss_poly,0.00625,3.81E-06,0.5
MQ_poly,0.2,0.003924953,0.6
InvMQ_poly,0.2,0.003952039,0.6
Gauss_poly,0.2,0.00393608,0.6
MQ_poly,0.1,0.000976811,0.6
InvMQ_poly,0.1,0.000978561,0.6
Gauss_poly,0.1,0.000977509,0.6
MQ_poly,0.05,0.000243924,0.6
InvMQ_poly,0.05,0.000244035,0.6
Gauss_poly,0.05,0.000243968,0.6
MQ_poly,0.025,6.10E-05,0.6
InvMQ_poly,0.025,6.10E-05,0.6
Gauss_poly,0.025,6.10E-05,0.6
MQ_poly,0.0125,1.52E-05,0.6
InvMQ_poly,0.0125,1.52E-05,0.6
Gauss_poly,0.0125,1.52E-05,0.6
MQ_poly,0.00625,3.81E-06,0.6
InvMQ_poly,0.00625,3.81E-06,0.6
Gauss_poly,0.00625,3.81E-06,0.6
MQ_poly,0.2,0.003926325,0.7
InvMQ_poly,0.2,0.003962111,0.7
Gauss_poly,0.2,0.003941036,0.7
MQ_poly,0.1,0.0009769,0.7
InvMQ_poly,0.1,0.000979224,0.7
Gauss_poly,0.1,0.000977823,0.7
MQ_poly,0.05,0.00024393,0.7
InvMQ_poly,0.05,0.000244077,0.7
Gauss_poly,0.05,0.000243988,0.7
MQ_poly,0.025,6.10E-05,0.7
InvMQ_poly,0.025,6.10E-05,0.7
Gauss_poly,0.025,6.10E-05,0.7
MQ_poly,0.0125,1.52E-05,0.7
InvMQ_poly,0.0125,1.52E-05,0.7
Gauss_poly,0.0125,1.52E-05,0.7
MQ_poly,0.00625,3.81E-06,0.7
InvMQ_poly,0.00625,3.81E-06,0.7
Gauss_poly,0.00625,3.81E-06,0.7
MQ_poly,0.2,0.003927843,0.8
InvMQ_poly,0.2,0.003973453,0.8
Gauss_poly,0.2,0.003946631,0.8
MQ_poly,0.1,0.000977,0.8
InvMQ_poly,0.1,0.000979977,0.8
Gauss_poly,0.1,0.000978178,0.8
MQ_poly,0.05,0.000243936,0.8
InvMQ_poly,0.05,0.000244125,0.8
Gauss_poly,0.05,0.00024401,0.8
MQ_poly,0.025,6.10E-05,0.8
InvMQ_poly,0.025,6.10E-05,0.8
Gauss_poly,0.025,6.10E-05,0.8
MQ_poly,0.0125,1.52E-05,0.8
InvMQ_poly,0.0125,1.52E-05,0.8
Gauss_poly,0.0125,1.52E-05,0.8
MQ_poly,0.00625,3.81E-06,0.8
InvMQ_poly,0.00625,3.81E-06,0.8
Gauss_poly,0.00625,3.81E-06,0.8
MQ_poly,0.2,0.003929504,0.9
InvMQ_poly,0.2,0.003986036,0.9
Gauss_poly,0.2,0.003952859,0.9
MQ_poly,0.1,0.000977109,0.9
InvMQ_poly,0.1,0.000980819,0.9
Gauss_poly,0.1,0.000978574,0.9
MQ_poly,0.05,0.000243943,0.9
InvMQ_poly,0.05,0.000244178,0.9
Gauss_poly,0.05,0.000244035,0.9
MQ_poly,0.025,6.10E-05,0.9
InvMQ_poly,0.025,6.10E-05,0.9
Gauss_poly,0.025,6.10E-05,0.9
MQ_poly,0.0125,1.52E-05,0.9
InvMQ_poly,0.0125,1.52E-05,0.9
Gauss_poly,0.0125,1.52E-05,0.9
MQ_poly,0.00625,3.81E-06,0.9
InvMQ_poly,0.00625,3.81E-06,0.9
Gauss_poly,0.00625,3.81E-06,0.9
MQ_poly,0.2,0.003931305,1
InvMQ_poly,0.2,0.003999831,1
Gauss_poly,0.2,0.003959718,1
MQ_poly,0.1,0.000977228,1
InvMQ_poly,0.1,0.00098175,1
Gauss_poly,0.1,0.000979011,1
MQ_poly,0.05,0.000243951,1
InvMQ_poly,0.05,0.000244237,1
Gauss_poly,0.05,0.000244062,1
MQ_poly,0.025,6.10E-05,1
InvMQ_poly,0.025,6.10E-05,1
Gauss_poly,0.025,6.10E-05,1
MQ_poly,0.0125,1.52E-05,1
InvMQ_poly,0.0125,1.52E-05,1
Gauss_poly,0.0125,1.52E-05,1
MQ_poly,0.00625,3.81E-06,1
InvMQ_poly,0.00625,3.81E-06,1
Gauss_poly,0.00625,3.81E-06,1
MQ_poly,0.2,0.003933244,1.1
InvMQ_poly,0.2,0.004014811,1.1
Gauss_poly,0.2,0.003967204,1.1
MQ_poly,0.1,0.000977357,1.1
InvMQ_poly,0.1,0.000982768,1.1
Gauss_poly,0.1,0.000979489,1.1
MQ_poly,0.05,0.000243959,1.1
InvMQ_poly,0.05,0.000244302,1.1
Gauss_poly,0.05,0.000244092,1.1
MQ_poly,0.025,6.10E-05,1.1
InvMQ_poly,0.025,6.10E-05,1.1
Gauss_poly,0.025,6.10E-05,1.1
MQ_poly,0.0125,1.52E-05,1.1
InvMQ_poly,0.0125,1.52E-05,1.1
Gauss_poly,0.0125,1.52E-05,1.1
